source_file,index,Anzahl,Art-Nr,Bezeichnung,Preis,Betrag,Pos
1_Invoice_fields.json,1,20 M,100028956,"Streng duct PP-HM Sickerrohr SN4
Ø150mm L5m",11.20,224.00,10
1_Invoice_fields.json,2,15M,100028908,"Streng duct PP-HM Kanalrohr SN4
Ø160mm L5m",10.70,160.50,20
1_Invoice_fields.json,3,5M,100028904,"Streng duct PP-HM Kanalrohr SN4
Ø110mm L5m",5.10,25.50,30
1_Invoice_fields.json,4,4 ST,100028552,"Streng duct PP-HM Abzweiger 45°
SN8 (SN12) Ø160/110mm",21.00,84.00,40
1_Invoice_fields.json,5,6 ST,100028387,"Streng duct PP-HM Bogen 45° SN8
(SN12)
Ø160mm",8.50,51.00,50
1_Invoice_fields.json,6,4 ST,100028741,"Streng duct PP-HM Überschiebemuffe
SN8 (SN12) Ø160mm",7.80,31.20,60
1_Invoice_fields.json,7,2 ST,100093496,"PP Schachtfutter Grip
Ø160mm inkl. Dichtung",14.00,28.00,70
1_Invoice_fields.json,8,2 ST,100059389,"Streng duct PP-HM Muffendeckel
Ø160mm",4.50,9.00,80
1_Invoice_fields.json,9,3 ST,100028708,"Streng duct PP-HM Überschiebemuffe
SN8 (SN12) Ø110mm",3.20,9.60,90
1_Invoice_fields.json,10,5 ST,100028383,"Streng duct PP-HM Bogen 45° SN8
(SN12)
Ø110mm",3.80,19.00,100
1_Invoice_fields.json,11,2 ST,100028351,"Streng duct PP-HM Bogen 30° SN8
(SN12)
Ø110mm",3.80,7.60,110
1_Invoice_fields.json,12,2 ST,100028269,"Streng duct PP-HM Bogen 15° SN8
(SN12)
Ø110mm",3.80,7.60,120
1_Invoice_fields.json,13,2 KRT,100114087,"MAXIMUM Gleitmittel für PE, PP & PVC
Tube à 500ml",6.60,13.20,130
1.1_Invoice_fields.json,1,80 BD,100036892,"Rapido Drahtbinder geschweisst
10cm 1000St. (20 Bd/Sack)",14.70,1'176.00,10
1.1_Invoice_fields.json,2,30 BD,100036898,"Rapido Drahtbinder geschweisst
16cm 1000St. (15 Bd/Sack)",19.30,579.00,20
1.1_Invoice_fields.json,3,12 ST,100122606,"MAXIMUM Schalungsschaum grau
750ml B3",12.00,144.00,30
1.1_Invoice_fields.json,4,34.1 M,100068986,"Zembord 25 Abschalung
250mm L1.10m",20.00,682.00,40
1.1_Invoice_fields.json,5,1 ST,500000053,"Palette SBB, 120x80cm",21.00,21.00,999
1.1_Invoice_fields.json,6,40 BD,100036894,"Rapido Drahtbinder geschweisst
12cm 1000St. (20 Bd/Sack)",15.10,604.00,10
1.1_Invoice_fields.json,7,40 BD,100036896,"Rapido Drahtbinder geschweisst
14cm 1000St. (20 Bd/Sack)",17.80,712.00,20
1.2_Invoice_fields.json,1,1.056 TS,100105956,"Kalksandstein K 18
18x14x25cm",1'990.00,2'101.44,10
1.2_Invoice_fields.json,2,1 ST,200000036,Transportkosten,266.11,266.11,20
